start_year,end_year,name,region,deaths_estimate,people_affected,sources_notes
-2200,-2100,4.2-kiloyear event,Multi-regional (Mesopotamia/Egypt/Indus),,,"4.2 ka BP paleoclimate event; Akkadian Empire collapse + Egypt Old Kingdom collapse; Cullen et al. 2000"
-1200,-1100,Late Bronze Age drought,Eastern Mediterranean,,,"Kaniewski et al.; coincides with Bronze Age collapse"
-850,-841,Drought under Ahab (Elijah's drought),Israel/Phoenicia,,,"1 Kings 17-18; Menander of Ephesus (via Josephus); ~3 years per biblical account"
-535,-520,Persian-era Levantine droughts,Levant,,,"Sediment record; weak chronology"
800,1000,Mayan terminal classic drought,Mesoamerica,,,"Hodell et al.; multiple multi-decade dry phases; Classic Maya collapse"
1125,1180,Medieval climate dry phase (SW US),North America,,,"Tree-ring evidence; precursor to Anasazi/Pueblo distress"
1276,1299,Great Drought (Anasazi),North America,,,"Tree-ring evidence; Pueblo/Anasazi abandonment of Mesa Verde region"
1450,1460,Aztec famine drought,Mesoamerica,,200000,"Codex; preceded human-sacrifice expansion"
1540,1542,Central European drought,Europe,,,"Pfister and Brazdil; extreme heat year 1540"
1601,1604,Russian famine drought,Russia,2000000,3000000,"Time of Troubles; volcanic Huaynaputina cooling 1600 contributed"
1631,1635,East African drought,Horn of Africa,,,"Ethiopian chronicles"
1693,1694,French Great Famine drought,Western Europe,1500000,,"Lachiver; Little Ice Age peak"
1709,1710,Great Frost drought (Europe),Europe,600000,,"Famine across Europe"
1738,1741,Irish Bliain an Áir drought + frost,Western Europe,400000,,"Different from 1845 famine; severe early-18th-C event"
1743,1745,China Henan drought,East Asia,2000000,,"Qing chronicles"
1769,1773,Bengal drought-famine,South Asia,10000000,,"British East India Company era; Davis"
1782,1784,Chalisa famine drought,South Asia,11000000,,"Damodaran; one of deadliest"
1788,1789,French pre-revolutionary drought,Western Europe,200000,,"Lachiver; contributed to revolution"
1789,1793,Doji bara famine drought,South Asia,11000000,,"Ó Gráda"
1810,1813,North China drought,East Asia,8000000,,"Davis; preceded 1810-11 famine catalogued separately"
1815,1817,Mt Tambora year-without-summer drought,Global,200000,,"Stommel; following 1815 eruption; affected Europe/India/North America"
1845,1849,Irish Potato Famine (failure of monsoon)-,Western Europe,1000000,2000000,"Kinealy; primary cause was potato blight not drought but drought year 1846 contributed"
1855,1858,Northern Mexico drought,North America,,,""
1866,1868,Finnish Great Hunger drought,Northern Europe,150000,,"Häkkinen; coldest summers on record"
1870,1872,Persian Great Famine drought,Middle East,2000000,,"Okazaki; rainfall failure 1870-71"
1876,1879,Great Famine drought (India/China/Brazil/Egypt),Global,30000000,,"Davis 2001; super El Niño 1877-78; one of worst climate events of human history"
1888,1892,Ethiopian Great Famine drought,Africa,4000000,,"Pankhurst; rinderpest + drought + locust"
1891,1892,Russian famine drought,Russia,400000,,"Robbins"
1896,1897,Indian drought-famine,South Asia,5000000,,"Davis"
1899,1902,Indian drought-famine (worst of 19th C),South Asia,9000000,,"Davis; El Niño 1899-1900"
1907,1909,Chinese drought-famine,East Asia,25000000,,"Mallory"
1921,1922,Soviet Volga drought,Russia,5000000,30000000,"Patenaude; one of worst Russian famines"
1928,1930,China Northwest drought,East Asia,3000000,,"Mallory; Henan/Shaanxi"
1929,1939,US Dust Bowl,North America,7000,2500000,"Egan; displaced 2.5M from Great Plains; dust pneumonia mortality"
1932,1933,Soviet Holodomor drought + policy,Eastern Europe,7000000,,"Conquest; policy-driven famine but coincided with drought"
1942,1944,Bengal drought-famine,South Asia,3000000,,"Sen; cyclone + drought + policy + war disruption"
1958,1962,Great Chinese Famine drought + policy,East Asia,30000000,,"Dikötter; deadliest famine in history; drought contributed"
